Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR10141039.coordsort	lib1	727.0	1117844.0	2646.0	897.0	349.0	193037.0	0.0	0.172787	2852163.0
SRR10141040.coordsort	lib1	1043.0	1468370.0	3572.0	1309.0	431.0	229037.0	0.0	0.156072	4203540.0
SRR10141041.coordsort	lib1	874.0	663034.0	897.0	1298.0	781.0	602251.0	0.0	0.908316	60784.0
SRR10141042.coordsort	lib1	541.0	972176.0	2868.0	731.0	195.0	124682.0	0.0	0.128315	3458642.0
SRR10141043.coordsort	lib1	245.0	1680980.0	2401.0	311.0	93.0	258548.0	0.0	0.153824	4888538.0
SRR10141044.coordsort	lib1	369.0	1311828.0	1758.0	457.0	170.0	245814.0	0.0	0.187421	3047900.0
SRR10141045.coordsort	lib1	305.0	1529799.0	1938.0	489.0	104.0	208485.0	0.0	0.136303	5090155.0
SRR10141046.coordsort	lib1	1001.0	1304368.0	6279.0	1919.0	427.0	256357.0	0.0	0.196626	2867618.0
SRR10141047.coordsort	lib1	1135.0	1737223.0	9044.0	1681.0	503.0	231882.0	0.0	0.13358	5914534.0
SRR10141048.coordsort	lib1	171.0	1334748.0	1866.0	219.0	73.0	279186.0	0.0	0.209182	2728176.0
SRR10141049.coordsort	lib1	672.0	1269803.0	5251.0	780.0	328.0	234684.0	0.0	0.184899	2997482.0
SRR10141050.coordsort	lib1	691.0	1456665.0	5694.0	941.0	379.0	462415.0	0.0	0.317503	1777536.0
SRR10141051.coordsort	lib1	740.0	1046231.0	5450.0	1010.0	356.0	142091.0	0.0	0.135934	3494487.0
SRR10141052.coordsort	lib1	3281.0	1143802.0	526.0	3445.0	3225.0	1070710.0	0.0	0.936164	73092.0
SRR10141053.coordsort	lib1	1094.0	1561953.0	10990.0	1516.0	464.0	201274.0	0.0	0.128964	5527962.0
SRR10141054.coordsort	lib1	3424.0	5497039.0	32172.0	5276.0	1932.0	1426517.0	0.0	0.259601	8666414.0
SRR10141055.coordsort	lib1	1078.0	1391467.0	8411.0	1468.0	502.0	317205.0	0.0	0.228056	2567958.0
SRR10141056.coordsort	lib1	764.0	1235774.0	8362.0	1218.0	326.0	286818.0	0.0	0.232156	2232005.0
SRR10141057.coordsort	lib1	1170.0	1640842.0	9772.0	1658.0	589.0	448163.0	0.0	0.273212	2427473.0
SRR10141058.coordsort	lib1	545.0	868853.0	1535.0	2831.0	232.0	198638.0	0.0	0.228683	1597958.0
SRR10141059.coordsort	lib1	609.0	865647.0	2144.0	1679.0	203.0	65704.0	0.0	0.075992	5410073.0
SRR10141060.coordsort	lib1	814.0	1779459.0	11760.0	1222.0	318.0	345527.0	0.0	0.19422	3967456.0
SRR10141061.coordsort	lib1	1671.0	1439598.0	8568.0	5243.0	608.0	149337.0	0.0	0.103886	6450154.0
SRR10141062.coordsort	lib1	977.0	1383653.0	9888.0	1381.0	436.0	167207.0	0.0	0.120959	5253768.0
SRR10141063.coordsort	lib1	4744.0	1011661.0	3321.0	5658.0	4626.0	947874.0	0.0	0.937038	63787.0
SRR10141064.coordsort	lib1	623.0	1092271.0	10961.0	895.0	183.0	98433.0	0.0	0.090176	5690405.0
SRR10141065.coordsort	lib1	608.0	1002141.0	8198.0	856.0	175.0	79660.0	0.0	0.079553	5964910.0
SRR10141066.coordsort	lib1	1179.0	1630352.0	16227.0	1469.0	660.0	298307.0	0.0	0.183107	3893352.0
SRR10141067.coordsort	lib1	868.0	894321.0	4226.0	906.0	339.0	65566.0	0.0	0.073468	5797375.0
SRR10141068.coordsort	lib1	1044.0	1240376.0	12679.0	1542.0	295.0	89372.0	0.0	0.072141	8188840.0
SRR10141069.coordsort	lib1	1272.0	669659.0	841.0	1616.0	1181.0	632631.0	0.0	0.944691	37028.0
SRR10141070.coordsort	lib1	2284.0	1255312.0	3013.0	2972.0	2240.0	1202349.0	0.0	0.95783	52963.0
SRR10141071.coordsort	lib1	933.0	1710359.0	16456.0	1213.0	399.0	238374.0	0.0	0.139449	5551555.0
SRR10141072.coordsort	lib1	1974.0	555669.0	803.0	2238.0	1904.0	521307.0	0.0	0.938208	34362.0
SRR10141073.coordsort	lib1	1687.0	1458331.0	2905.0	2547.0	1649.0	1382119.0	0.0	0.947757	76212.0
SRR10141074.coordsort	lib1	3698.0	1248340.0	1745.0	4526.0	3648.0	1188195.0	0.0	0.951871	60145.0
SRR10141075.coordsort	lib1	1959.0	830318.0	2490.0	4039.0	1855.0	780455.0	0.0	0.939955	49863.0
SRR10141076.coordsort	lib1	1755.0	869006.0	2654.0	1909.0	1707.0	828810.0	0.0	0.953764	40196.0
SRR10141077.coordsort	lib1	1369.0	770199.0	2501.0	1473.0	1338.0	733573.0	0.0	0.952468	36626.0
SRR10141078.coordsort	lib1	4528.0	1801438.0	5365.0	5404.0	4463.0	1722452.0	0.0	0.956191	78986.0
SRR10141079.coordsort	lib1	4303.0	1828500.0	5262.0	5015.0	4233.0	1752912.0	0.0	0.958691	75588.0
SRR10141080.coordsort	lib1	5021.0	2003222.0	6197.0	6571.0	4905.0	1922327.0	0.0	0.959639	80895.0
SRR10141081.coordsort	lib1	2541.0	925969.0	504.0	2891.0	2460.0	881030.0	0.0	0.951491	44939.0
SRR10141082.coordsort	lib1	1225.0	600971.0	686.0	1581.0	1165.0	562719.0	0.0	0.936365	38252.0
SRR10141083.coordsort	lib1	595.0	1006526.0	4120.0	653.0	253.0	165714.0	0.0	0.164717	2711131.0
SRR10141084.coordsort	lib1	1598.0	657225.0	875.0	1770.0	1538.0	618942.0	0.0	0.941776	38283.0
SRR10141085.coordsort	lib1	2346.0	2963050.0	2434.0	3202.0	2317.0	2835629.0	0.0	0.957009	127421.0
SRR10141086.coordsort	lib1	1097.0	917619.0	1724.0	1389.0	1083.0	864047.0	0.0	0.941646	53572.0
SRR10141087.coordsort	lib1	1484.0	838174.0	424.0	1576.0	1437.0	795683.0	0.0	0.949322	42491.0
SRR10141088.coordsort	lib1	1883.0	767434.0	278.0	2321.0	1803.0	715827.0	0.0	0.932784	51607.0
SRR10141089.coordsort	lib1	1447.0	688238.0	227.0	1879.0	1377.0	643549.0	0.0	0.935085	44689.0
SRR10141090.coordsort	lib1	1246.0	695150.0	744.0	1400.0	1197.0	658839.0	0.0	0.947777	36311.0
SRR10141091.coordsort	lib1	1625.0	719173.0	1357.0	1771.0	1467.0	678940.0	0.0	0.94401	40233.0
SRR10141092.coordsort	lib1	764.0	627683.0	257.0	894.0	736.0	583490.0	0.0	0.929614	44193.0
SRR10141093.coordsort	lib1	827.0	596566.0	252.0	861.0	802.0	552495.0	0.0	0.926156	44071.0
SRR10141094.coordsort	lib1	1903.0	913496.0	384.0	1947.0	1849.0	859375.0	0.0	0.940786	54121.0
SRR10141095.coordsort	lib1	3864.0	1365094.0	2861.0	4030.0	3806.0	1291359.0	0.0	0.946041	73735.0
SRR10141096.coordsort	lib1	1825.0	1587909.0	498.0	2309.0	1727.0	1509074.0	0.0	0.950351	78835.0
SRR10141097.coordsort	lib1	2933.0	1331942.0	10742.0	3161.0	2864.0	1277136.0	0.0	0.958872	54806.0
SRR10141098.coordsort	lib1	1066.0	514262.0	611.0	1096.0	1029.0	475205.0	0.0	0.924095	39057.0
SRR10141099.coordsort	lib1	2532.0	545576.0	678.0	2552.0	2472.0	504631.0	0.0	0.92507	40945.0
SRR10141100.coordsort	lib1	1713.0	514734.0	663.0	1763.0	1674.0	475339.0	0.0	0.923555	39395.0
SRR10141101.coordsort	lib1	1445.0	739374.0	412.0	1559.0	1391.0	683632.0	0.0	0.924646	55742.0
SRR10141102.coordsort	lib1	814.0	742928.0	332.0	920.0	767.0	695307.0	0.0	0.935904	47621.0
SRR10141103.coordsort	lib1	1013.0	678955.0	284.0	1045.0	954.0	637691.0	0.0	0.939226	41264.0
SRR10141104.coordsort	lib1	3840.0	1391405.0	7160.0	5468.0	3726.0	1331281.0	0.0	0.956808	60124.0
SRR10141105.coordsort	lib1	7216.0	2952962.0	8250.0	8556.0	7112.0	2837981.0	0.0	0.961092	114981.0
SRR10141106.coordsort	lib1	857.0	573445.0	870.0	953.0	813.0	535613.0	0.0	0.934038	37832.0
SRR10141107.coordsort	lib1	2636.0	1450297.0	2226.0	2862.0	2610.0	1388688.0	0.0	0.957549	61609.0
SRR10141108.coordsort	lib1	1694.0	1167854.0	3277.0	1886.0	1678.0	1119071.0	0.0	0.958252	48783.0
SRR10141109.coordsort	lib1	1291.0	1028284.0	3700.0	1555.0	1270.0	973602.0	0.0	0.946845	54682.0
SRR10141110.coordsort	lib1	93.0	557950.0	141.0	2123.0	85.0	521450.0	0.0	0.93458	36500.0
SRR10141111.coordsort	lib1	828.0	582515.0	452.0	860.0	774.0	544645.0	0.0	0.934989	37870.0
SRR10141112.coordsort	lib1	523.0	453672.0	608.0	1119.0	486.0	407714.0	0.0	0.898715	45960.0
SRR10141113.coordsort	lib1	214.0	265689.0	328.0	592.0	195.0	233197.0	0.0	0.87772	32501.0
SRR10141114.coordsort	lib1	165.0	216126.0	252.0	447.0	145.0	199599.0	0.0	0.923514	16527.0
SRR10141115.coordsort	lib1	390.0	342403.0	158.0	432.0	363.0	311519.0	0.0	0.909814	30884.0
SRR10141116.coordsort	lib1	2782.0	1587060.0	6181.0	3662.0	2729.0	1529063.0	0.0	0.963472	57997.0
SRR10141117.coordsort	lib1	2297.0	1269196.0	5634.0	3013.0	2241.0	1216508.0	0.0	0.958503	52688.0
SRR10141118.coordsort	lib1	994.0	1079675.0	1648.0	1568.0	969.0	1025211.0	0.0	0.949567	54464.0
SRR10141119.coordsort	lib1	1764.0	1294529.0	655.0	1872.0	1615.0	1230244.0	0.0	0.950317	64285.0
